,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
148,"Jackie Chan",Tiësto,28810,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
149,needy,"Ariana Grande",28742,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ
150,"Lucky You (feat. Joyner Lucas)",Eminem,28645,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
151,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,28550,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
152,"Big Plans","Why Don't We",28479,https://open.spotify.com/track/6Yx181fZzA0YE2EkUsYruq
153,Africa,TOTO,28266,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
154,"Love Lies (with Normani)",Khalid,28226,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
155,"Almost (Sweet Music)",Hozier,27975,https://open.spotify.com/track/7uttm8Iurm5uK67Vr9G2Sp
156,"All Girls Are The Same","Juice WRLD",27898,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
157,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",27880,https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p
158,"Baila Baila Baila",Ozuna,27849,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
159,"Under Pressure - Remastered",Queen,27678,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
160,Unforgettable,"French Montana",27494,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
161,Silence,Marshmello,27205,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
162,goosebumps,"Travis Scott",27189,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
163,FEFE,6ix9ine,27121,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK
164,"Make Believe","Juice WRLD",27085,https://open.spotify.com/track/6eiztdXRkooWsBt2xToMWI
165,"Project Dreams",Marshmello,27022,https://open.spotify.com/track/6GSkLS2y4ZnnZsuRAj975K
166,"R.I.P. (feat. Rita Ora & Anitta)","Sofia Reyes",26824,https://open.spotify.com/track/6JqpFboOH2bq9pzaYbkKBn
167,"bad idea","Ariana Grande",26812,https://open.spotify.com/track/7EQpvVujgytLVY8vKiDHAg
168,"So Am I","Ava Max",26683,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
169,Empty,"Juice WRLD",26668,https://open.spotify.com/track/41MCdlvXOl62B7Kv86Bb1v
170,"I Love It (& Lil Pump)","Kanye West",26644,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
171,Location,Khalid,26632,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
172,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",26632,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
173,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",26599,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
174,"No New Friends",Sia,26556,https://open.spotify.com/track/3Y7a0typ6ik1KscmebXd6D
175,"I Don't Belong In This Club","Why Don't We",26285,https://open.spotify.com/track/45ZGEdLxCZvdMX9jWlsAAx
176,"Party In The U.S.A.","Miley Cyrus",26233,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
177,"I'm a Mess","Bebe Rexha",26156,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
178,"Plug Walk","Rich The Kid",26122,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
179,"Fine China",Future,25914,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
180,changes,XXXTENTACION,25908,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
181,bloodline,"Ariana Grande",25842,https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX
182,"Body Like A Back Road","Sam Hunt",25789,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
183,imagine,"Ariana Grande",25785,https://open.spotify.com/track/39LmTF9RgyakzSYX8txrow
184,"Die Young","Roddy Ricch",25723,https://open.spotify.com/track/3wLtYwtqvKK2ewelSVPeDK
185,"Someone You Loved","Lewis Capaldi",25673,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
186,"Talk You Out Of It","Florida Georgia Line",25644,https://open.spotify.com/track/4qQwGRtGT7l6ckQtdPEFd4
187,"I Want It That Way","Backstreet Boys",25642,https://open.spotify.com/track/47BBI51FKFwOMlIiX6m8ya
188,"Mr. Brightside","The Killers",25606,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
189,"11 Minutes (with Halsey feat. Travis Barker)",YUNGBLUD,25510,https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4
190,"No Sleep (feat. Bonn)","Martin Garrix",25343,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B
191,Closer,"The Chainsmokers",25303,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
192,Mine,Bazzi,25298,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
193,"Girls Need Love (with Drake) - Remix","Summer Walker",25271,https://open.spotify.com/track/14SaZBTjxlorHJQxXh01Hu
194,"Don't Worry Bout Me","Zara Larsson",25236,https://open.spotify.com/track/507tQXutCPYNFkpOq8tmKF
195,"Love Someone","Lukas Graham",25129,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
196,YOSEMITE,"Travis Scott",25052,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
197,"Whiskey Glasses","Morgan Wallen",24978,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
198,"Sweet Little Lies",bülow,24771,https://open.spotify.com/track/6ZahaGPhyiXTi1pLEtGM6e
199,"Best Part (feat. Daniel Caesar)",H.E.R.,24660,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
200,"Too Good At Goodbyes","Sam Smith",24631,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
